junction,responsible_station,distance_km
GoruguntepalyaJunc,Nandini Layout Police Station,1.94
GovindapuraCross,Kadugondanahalli Traffic Police Station,1.38
GowdanapalyaJunction,Kumaraswamy Layout Police Station,1.03
HSR14thMainJunc,HSR Police station,1.38
HainsJunc,Bharthinagar Police Station,0.68
HalliThindi,Basavangudi Police Station,0.72
HebbalFlyoverJunc,Hebbal Traffic Police Station,0.18
HennurRd-DavisRdJunction,Pulakeshi Nagar Police Station,0.45
HennurRoad-ORR Junc,Banaswadi Police Station,1.4
HesaraghattaJunction,Peenya Police Station,1.81
HoodiJunction,Office Of The Assistant Commissioner Whitefield Subdivision,2.43
HopefarmJunction,Whitefield Police Station -Office of the Deputy Commisionner,1.0
HoramavuJunction,Hennur Police Station,1.28
HosmatJunction,Karnataka State Reserve Police,0.27
HudsonCircle,Police Headquarters,0.32
HulimaveRd-BanneraghattaRdJunc,Hulimavu Police Station,0.71
HunsemarammanahalliJunction,Yelahanka Police Station,5.79
ISRO Junction-Airport rd,Indiranagar Traffic Police Station,0.9
ISRO Junction-NewBEL Rd,Sanjayanagar Police station,0.9
IbblurJunction',Bellanduru Traffic Police Station,0.33
IndianExpressJunction,Commisioner of Police,0.29
Indiranasgar13thMainJunc,Indiranagar Traffic Police Station,1.27
ItmaduJunction,BSK 3rd stage Police Station,0.89
J D MaraJunc,Mico Layout Traffic Police Station,0.67
JP Nagar 15th cross junction,JP Nagar Police Station,0.65
JP Nagar 9th cross-24th main jn,JP Nagar Police Station,0.16
JaiMuniRaoCircle,Vijaynagar Traffic Police Station,0.6
Jaipuria-Adugodi,Koramangala Police Station,0.74
JakkurCrossJunction,Amrutahalli Police Station,1.95
JalahalliCross(SM Circle),Peenya Police Station,0.55
JayadevaHospitalJunc,Mico Layout Traffic Police Station,0.27
"Jayanagar 4th main,36th cross",Jayanagar 4th Block Police Station,0.67
JohnsonMarket,Ashok Nagar Police Station,1.05
K G Junction,Upparpet Traffic Police Station,0.18
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),Wilson Garden Police Station,0.64
K R Circle,Vidhana Soudha Police Station,0.27
K R MarketJunction,Krishna Rajendra Market Police Station,0.26
KCG HospitalJunction,Maleshwaram Police station,0.35
KHB Junction,Basaveshwaranagar Police Station,0.82
KIMCO Junction,Vijayanagara Traffic Police Station,1.09
KR Road-14thCross Junc,Thyagaraja Nagar Police Station,0.63
KadirenahalliJunction,Banashankari Police Station,0.73
Kadubeesanahalli-ORR Junc,Marathahalli Police Station,0.7
KalyanNagar-ORR Junc,Hennur Police Station,0.22
KamakyaJunction,BSK 3rd stage Police Station,0.11
Kammanahalli-RingRoadJunction,Banaswadi Police Station,0.83
KamrajRdJunction,Ashok Nagar Police Station,0.62
KanakapuraRd-RingRdJunction,Kumaraswamy Layout Police Station,1.12
KarnatakaBhavanJunction,Srirampura Police Station,0.94
KatriguppeJunction,BSK 3rd stage Police Station,0.42
KensingtonOvalJunc,Halasuru Police Station,0.84
KhodaysCircle(DV UrsCircle),Upparpet Traffic Police Station,0.72
KodigehalliCross,Amrutahalli Police Station,0.53
KogilluCrossJunc,Yelahanka Police Station,1.31
KonanakunteJunction(KanakapurarRd),Konanakunte Police Station,0.73
KoramangalaWaterTankJunc,Madiwala Traffic Police Station,0.7
KrishnaFlourMill,Seshadripuram Police Station,0.39
Krupanidhi College,Madiwala Traffic Police Station,0.86
Kudlu Gate Junc,HSR Police station,3.64
KundanahalliGateJunc,Traffic Police Cabin,1.71
KuvempuCircle,Jalahalli Police Station,1.43
"KuvempuCircleJunc,HAL MainGate",HAL Traffic Police Station,0.12
LRDE Junction,Superintendent of Police,0.48
LalbaghMainGateJunc,S.J. Park Police,0.82
LalbaghWestGate,Basavangudi Police Station,0.9
LeprosyhospitalJunc,Cottenpet Police Station,1.04
LinkRoadMalleswaramJunc,Seshadripuram Police Station,0.52
LowerAgaram(IndiaGarage)Junc,Karnataka State Reserve Police,0.53
MC Circle,Magadi Road Police Station,0.42
MICO Bande,Adugodi Traffic Police Station,0.79
MS RamaiahJunc(TollGate),Yeshwantpura Police Station,0.24
MSRamaiahHospitalJunc,Sanjayanagar Police station,0.65
MahalaxmiLayoutEntranceJunc,Mahalakshmipuram Police Station,0.77
MaharajaJunction,Koramangala Police Station,1.17
Malleswaram18thCrossRd-SampigeRdJunc,Sadhashivanagar Police Station,0.71
ManipalCentreJunc,Ashok Nagar Police Station,0.57
MaratahalliBridgeJunc,Traffic Police Cabin,0.08
MarenahalliRd-18thMainRdJunc,JP Nagar Police Station,0.77
MargosaRd-18thCrossJunc,Sadhashivanagar Police Station,0.56
Marigowda-TavarkereRdJunc,Adugodi Police Station,0.46
MayohallJunction,Ashok Nagar Police Station,0.2
MeenakshiMallJunc,Hulimavu Police Station,0.53
MekhriCircle,Sadhashivanagar Police Station,1.25
MillCornerRd-SampigeRdJunc,Maleshwaram Police station,0.53
Minerva Circle,S.J. Park Police,0.73
MinskSquare(CTO Junction),Cyber Crime Police Station,0.4
MintoJunction,Central Police Station,0.01
ModiBridgeJunction,Mahalakshmipuram Police Station,0.52
ModiHospital,Mahalakshmipuram Police Station,0.59
MotherTeressaCircle,Ashok Nagar Police Station,0.57
MysoreRd--MadhuPetrolBunkJunction,Kengeri Police Station,0.46
MysoreRd-RingRdJunc(Nayandanahallii),Chandra Layout Police Station,1.57
N R SquareJunc,Halasuru Gate Traffic Police Station,0.11
NCERT Junction,Girinagar Police Station,0.45
NGV RearGateJunc,Koramangala Police Station,0.19
NIMHANS Junction,NIMHANS Police Outpost,0.31
NTTF JunctionPeenya,Peenya Police Station,1.65
NagaTheaterJunc-Ulsoor,Bharthinagar Police Station,0.67
NaganathapuraJunction,HSR Police station,5.52
Nagarbhavi,Chandra Layout Police Station,1.14
Nagavara-ORR Junction,Kadugondanahalli Traffic Police Station,2.25
NandiCross(RaniCross),City Armed Reserve North,22.91
"Narayanapura cross, Hegde nagar",Hennur Traffic Police Station,0.2
NationalCollege,Shankarapuram Police Station,0.46
NavarangBarJunc-Dr RajkumarRd,Srirampura Police Station,0.61
NavarangTheatreJunction,Rajaji Nagar Police Station,0.43
